id,title,release_date,box_office,distributor,game_publisher
1,Super Mario Bros.,1993-05-28,38912465.00,Buena Vista Pictures Distribution,Nintendo
2,Double Dragon,1994-11-04,4152699.00,Gramercy Pictures,Technos Japan
3,Street Fighter,1994-12-23,99423521.00,Universal Pictures,Capcom
4,Mortal Kombat,1995-08-18,124741822.00,New Line Cinema,Midway
5,Mortal Kombat: Annihilation,1997-11-21,51376861.00,New Line Cinema,Midway
6,Wing Commander,1999-03-12,11578059.00,20th Century Fox,Origin Systems
7,Lara Croft: Tomb Raider,2001-06-15,274703340.00,Paramount Pictures,Eidos
8,Resident Evil,2002-03-15,102984862.00,Sony Pictures Releasing,Capcom
9,Lara Croft: Tomb Raider â€“ The Cradle of Life,2003-07-25,156505388.00,Paramount Pictures,Eidos
10,House of the Dead,2003-10-10,13818181.00,Artisan Entertainment,Sega Sammy
11,Resident Evil: Apocalypse,2004-09-10,129342769.00,Sony Pictures Releasing,Capcom
12,Alone in the Dark,2005-01-28,10442808.00,Lionsgate Films,Infogrames
13,Doom,2005-10-21,55987321.00,Universal Pictures,id Software
14,BloodRayne,2006-01-06,3650275.00,Boll KG Productions,Majesco Entertainment
15,Silent Hill,2006-04-21,97607453.00,Sony Pictures Releasing,Konami
16,DOA: Dead or Alive,2006-09-07,7516532.00,Metro-Goldwyn-Mayer / Dimension Films,Tecmo
17,Resident Evil: Extinction,2007-09-21,148412065.00,Sony Pictures Releasing,Capcom
18,Postal,2007-10-18,146741.00,Vivendi Entertainment,Ripcord Games
19,Hitman,2007-11-21,101276318.00,20th Century Fox,Eidos
20,In the Name of the King: A Dungeon Siege Tale,2008-01-11,13097915.00,20th Century Fox,Microsoft Studios
21,Far Cry,2008-10-02,743634.00,20th Century Fox,Ubisoft
22,Max Payne,2008-10-17,85416905.00,20th Century Fox,Rockstar Games
23,Street Fighter: The Legend of Chun-Li,2009-02-27,12764201.00,20th Century Fox,Capcom
24,Tekken,2010-03-20,1697207.00,Warner Bros. Pictures,Bandai Namco Games
25,Prince of Persia: The Sands of Time,2010-05-28,336365676.00,Walt Disney Studios Motion Pictures,Ubisoft
26,Resident Evil: Afterlife,2010-09-10,300228084.00,Sony Pictures Releasing,Capcom
27,Resident Evil: Retribution,2012-09-14,240004424.00,Sony Pictures Releasing,Capcom
28,Silent Hill: Revelation,2012-10-26,52302796.00,Open Road Films,Konami
29,Need for Speed,2014-03-14,203277636.00,Walt Disney Studios Motion Pictures,Electronic Arts
30,Hitman: Agent 47,2015-08-21,82347656.00,20th Century Fox,Square Enix
31,Warcraft,2016-06-10,439048914.00,Universal Pictures,Blizzard Entertainment
32,Assassin's Creed,2016-12-21,240558621.00,20th Century Fox,Ubisoft
33,Resident Evil: The Final Chapter,2017-01-27,312257250.00,Sony Pictures Releasing,Capcom
34,Tomb Raider,2018-03-16,274650803.00,Warner Bros. Pictures,Square Enix
35,Rampage,2018-04-13,428028233.00,Warner Bros. Pictures,WB Games
36,Dead Trigger,2019-05-03,151493.00,Saban Films,Madfinger Games
37,Detective Pikachu,2019-05-10,433005346.00,Warner Bros. Pictures,NintendoThe Pokemon Company
38,Sonic the Hedgehog,2020-02-14,320954026.00,Paramount Pictures,Sega Sammy
39,Monster Hunter,2020-12-18,42145959.00,Sony Pictures Releasing,Capcom
40,Mortal Kombat,2021-04-23,83601013.00,Warner Bros. Pictures,WB Games
41,Werewolves Within,2021-06-25,937490.00,IFC Films,Ubisoft
42,Resident Evil: Welcome to Raccoon City,2021-11-24,31837037.00,Sony Pictures Releasing,Capcom